,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,lng,lat,Location,PdId,zip_code,18-24 Total,18-24 Less than high school graduate,18-24 High school graduate,18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25 Total,25 Less than 9th grade,25 9th to 12th grade,25 High school graduate,"25 Some college, no degree",25 Associate's degree,25 Bachelor's degree,25 Graduate or professional degree,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Median household income,Mean household income,Median family income,Mean family income,Per capita income,Median nonfamily income,Mean nonfamily income,Median earnings for workers,Civilian noninstitutionalized population,With health insurance coverage,No health insurance coverage
13,180359888,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,05/14/2018,17:36,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.41293306238356,37.773927452481935,POINT (-122.41293306238357 37.773927452481935),18035988804138,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
14,180359888,KIDNAPPING,FALSE IMPRISONMENT,Monday,05/14/2018,17:36,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.41293306238356,37.773927452481935,POINT (-122.41293306238357 37.773927452481935),18035988826142,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
15,180359850,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,05/14/2018,17:30,MISSION,NONE,FLORIDA ST / 16TH ST,-122.41145623126778,37.76554897620598,POINT (-122.41145623126778 37.76554897620598),18035985005014,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
16,180359850,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,05/14/2018,17:30,MISSION,NONE,FLORIDA ST / 16TH ST,-122.41145623126778,37.76554897620598,POINT (-122.41145623126778 37.76554897620598),18035985027130,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
17,180359850,OTHER OFFENSES,RESISTING ARREST,Monday,05/14/2018,17:30,MISSION,NONE,FLORIDA ST / 16TH ST,-122.41145623126778,37.76554897620598,POINT (-122.41145623126778 37.76554897620598),18035985027170,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
18,180359769,NON-CRIMINAL,AIDED CASE,Monday,05/14/2018,16:40,SOUTHERN,NONE,500 Block of 6TH ST,-122.40178708470906,37.77537350502582,POINT (-122.40178708470904 37.77537350502582),18035976951040,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
19,180359606,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Monday,05/14/2018,16:10,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40842111692216,37.7835699386918,POINT (-122.40842111692214 37.7835699386918),18035960603024,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
20,180359606,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,05/14/2018,16:10,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40842111692216,37.7835699386918,POINT (-122.40842111692214 37.7835699386918),18035960662050,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
21,180359430,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,05/14/2018,15:35,MISSION,"ARREST, BOOKED",1900 Block of MISSION ST,-122.4198145938115,37.76584272133717,POINT (-122.4198145938115 37.765842721337165),18035943016710,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
22,180359264,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,05/14/2018,14:57,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147905,37.775420706711,POINT (-122.40340479147905 37.775420706711),18035926404013,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
