id,incident_number,lat,lng,zip_code
0,180362289,37.77520656149669,-122.41191202732877,94103
1,180360948,37.77514629165388,-122.41925789481357,94102
2,180360879,37.757100579642824,-122.41781255878655,94110
3,180360879,37.757100579642824,-122.41781255878655,94110
4,180360879,37.757100579642824,-122.41781255878655,94110
5,180360829,37.75641376904809,-122.41561725232026,94110
6,180360835,37.781953653725715,-122.41004163181597,94103
7,180360835,37.781953653725715,-122.41004163181597,94103
8,180360794,37.76984648754153,-122.44776112231955,94117
9,180360794,37.76984648754153,-122.44776112231955,94117
10,180360788,37.75869681664891,-122.41796448376013,94110
11,180360788,37.75869681664891,-122.41796448376013,94110
12,180360603,37.78521535904708,-122.41708535742424,94109
13,180360578,37.79251826551054,-122.39100427327769,94105
14,180360700,37.77186361771543,-122.4140272626904,94103
15,180360465,37.77779030942458,-122.41283433212864,94103
16,180360368,37.783386237938174,-122.40985372994119,94102
17,180360352,37.775436824246235,-122.4137213655681,94103
18,180360255,37.76491789094235,-122.42188635798068,94103
19,180360255,37.76491789094235,-122.42188635798068,94103
20,180360540,37.782849155153016,-122.46656548859937,94118
21,180360164,37.768169434617505,-122.435637436721,94114
22,180360158,37.76491789094235,-122.42188635798068,94103
23,180360158,37.76491789094235,-122.42188635798068,94103
24,180360158,37.76491789094235,-122.42188635798068,94103
25,180360170,37.77684514192746,-122.40461433268504,94103
26,180360045,37.759405250629015,-122.42174038877843,94110
27,180360681,37.77827177642468,-122.40743417623575,94103
28,180359979,37.77246824000607,-122.38951764803554,94158
29,180359888,37.773927452481935,-122.41293306238357,94103
30,180359888,37.773927452481935,-122.41293306238357,94103
31,180359850,37.76554897620598,-122.41145623126778,94103
32,180359850,37.76554897620598,-122.41145623126778,94103
33,180359850,37.76554897620598,-122.41145623126778,94103
34,180360669,37.78255434524264,-122.39738878482612,94107
35,180359769,37.77537350502582,-122.40178708470904,94103
36,180359571,37.79033106356438,-122.4408283542011,94115
37,180359606,37.7835699386918,-122.40842111692214,94103
38,180359606,37.7835699386918,-122.40842111692214,94103
39,180359430,37.765842721337165,-122.4198145938115,94103
40,180359333,37.765605863870505,-122.4104888293078,94110
41,180359333,37.765605863870505,-122.4104888293078,94110
42,180359333,37.765605863870505,-122.4104888293078,94110
43,180359264,37.775420706711,-122.40340479147905,94103
44,180359894,37.782643528093914,-122.44359704751092,94115
45,180359327,37.78494749569731,-122.41778534058587,94109
46,180359327,37.78494749569731,-122.41778534058587,94109
47,180359195,37.72819104833552,-122.37071254029084,94124
48,180359195,37.72819104833552,-122.37071254029084,94124
49,180360299,37.79353047155304,-122.39700008427126,94111
50,180359117,37.78239781239685,-122.43597642071613,94115
51,180359559,37.819923463743024,-122.37439714215347,94130
52,180358971,37.76746252618251,-122.41983289014406,94103
53,180358971,37.76746252618251,-122.41983289014406,94103
54,180359054,37.78520719184194,-122.40669059226074,94102
55,180358852,37.729934693604356,-122.39774442710336,94124
56,180358868,37.760976609084544,-122.43445735395501,94114
57,180358987,37.80816605335633,-122.41665048206421,94133
58,180358987,37.80816605335633,-122.41665048206421,94133
59,180358921,37.8015741248208,-122.44573808046123,94123
60,180358727,37.78071792859985,-122.41531796699203,94102
61,180358664,37.76408889445322,-122.42187648849193,94110
62,180358664,37.76408889445322,-122.42187648849193,94110
63,180358551,37.782137299784225,-122.41553300799912,94102
64,180359690,37.783386237938174,-122.40985372994119,94102
65,180358432,37.75850069113568,-122.48543981309969,94122
66,180358432,37.75850069113568,-122.48543981309969,94122
67,180358432,37.75850069113568,-122.48543981309969,94122
68,180358272,37.78350582637344,-122.43099240904681,94115
69,180358200,37.783834437414136,-122.4129305220591,94102
70,180358266,37.78111921215415,-122.41259697063744,94102
71,180358266,37.78111921215415,-122.41259697063744,94102
72,180358244,37.785977476162536,-122.40535937175287,94103
73,180358244,37.785977476162536,-122.40535937175287,94103
74,180358175,37.764289195574904,-122.43228179167782,94114
75,180358175,37.764289195574904,-122.43228179167782,94114
76,180358153,37.78423628778867,-122.4177103447255,94109
77,180358125,37.77089688585604,-122.42030348249165,94103
78,180358056,37.75736377959691,-122.41344955677596,94110
79,180358034,37.734623708357,-122.47510200629827,94132
80,180358034,37.734623708357,-122.47510200629827,94132
81,180358034,37.734623708357,-122.47510200629827,94132
82,180358012,37.780832063095986,-122.41079391548197,94103
83,180358012,37.780832063095986,-122.41079391548197,94103
84,180358012,37.780832063095986,-122.41079391548197,94103
85,180358028,37.77620757682619,-122.42033209959268,94102
86,180357989,37.78223058700358,-122.41029351968982,94103
87,180357989,37.78223058700358,-122.41029351968982,94103
88,180357967,37.755437187509735,-122.41874873352268,94110
89,180358686,37.775045653944254,-122.46976870002857,94118
90,180359797,37.73089146430011,-122.3999950223809,94124
91,180357882,37.75285341932685,-122.40819236737882,94110
92,180357882,37.75285341932685,-122.40819236737882,94110
93,180357898,37.780534538527796,-122.40816295385729,94103
94,180360001,37.783342091672075,-122.3984724160002,94107
95,180357848,37.71863054933365,-122.4727461204186,94132
96,180357917,37.76511929519941,-122.40754490645249,94110
97,180357951,37.73992605563308,-122.44959165889178,94127
98,180358169,37.782841984813125,-122.42166708607135,94109
99,180357810,37.75633027490241,-122.39556536014139,94107
100,180362289,37.77520656149669,-122.41191202732877,94103
101,180360948,37.77514629165388,-122.41925789481357,94102
102,180360879,37.757100579642824,-122.41781255878655,94110
103,180360879,37.757100579642824,-122.41781255878655,94110
104,180360879,37.757100579642824,-122.41781255878655,94110
105,180360829,37.75641376904809,-122.41561725232026,94110
106,180360835,37.781953653725715,-122.41004163181597,94103
107,180360835,37.781953653725715,-122.41004163181597,94103
108,180360794,37.76984648754153,-122.44776112231955,94117
109,180360794,37.76984648754153,-122.44776112231955,94117
110,180360788,37.75869681664891,-122.41796448376013,94110
111,180360788,37.75869681664891,-122.41796448376013,94110
112,180360603,37.78521535904708,-122.41708535742424,94109
113,180360578,37.79251826551054,-122.39100427327769,94105
114,180360700,37.77186361771543,-122.4140272626904,94103
115,180360465,37.77779030942458,-122.41283433212864,94103
116,180360368,37.783386237938174,-122.40985372994119,94102
117,180360352,37.775436824246235,-122.4137213655681,94103
118,180360255,37.76491789094235,-122.42188635798068,94103
119,180360255,37.76491789094235,-122.42188635798068,94103
120,180360540,37.782849155153016,-122.46656548859937,94118
121,180360164,37.768169434617505,-122.435637436721,94114
122,180360158,37.76491789094235,-122.42188635798068,94103
123,180360158,37.76491789094235,-122.42188635798068,94103
124,180360158,37.76491789094235,-122.42188635798068,94103
125,180360170,37.77684514192746,-122.40461433268504,94103
126,180360045,37.759405250629015,-122.42174038877843,94110
127,180360681,37.77827177642468,-122.40743417623575,94103
128,180359979,37.77246824000607,-122.38951764803554,94158
129,180359888,37.773927452481935,-122.41293306238357,94103
130,180359888,37.773927452481935,-122.41293306238357,94103
131,180359850,37.76554897620598,-122.41145623126778,94103
132,180359850,37.76554897620598,-122.41145623126778,94103
133,180359850,37.76554897620598,-122.41145623126778,94103
134,180360669,37.78255434524264,-122.39738878482612,94107
135,180359769,37.77537350502582,-122.40178708470904,94103
136,180359571,37.79033106356438,-122.4408283542011,94115
137,180359606,37.7835699386918,-122.40842111692214,94103
138,180359606,37.7835699386918,-122.40842111692214,94103
139,180359430,37.765842721337165,-122.4198145938115,94103
140,180359333,37.765605863870505,-122.4104888293078,94110
141,180359333,37.765605863870505,-122.4104888293078,94110
142,180359333,37.765605863870505,-122.4104888293078,94110
143,180359264,37.775420706711,-122.40340479147905,94103
144,180359894,37.782643528093914,-122.44359704751092,94115
145,180359327,37.78494749569731,-122.41778534058587,94109
146,180359327,37.78494749569731,-122.41778534058587,94109
147,180359195,37.72819104833552,-122.37071254029084,94124
148,180359195,37.72819104833552,-122.37071254029084,94124
149,180360299,37.79353047155304,-122.39700008427126,94111
150,180359117,37.78239781239685,-122.43597642071613,94115
151,180359559,37.819923463743024,-122.37439714215347,94130
152,180358971,37.76746252618251,-122.41983289014406,94103
153,180358971,37.76746252618251,-122.41983289014406,94103
154,180359054,37.78520719184194,-122.40669059226074,94102
155,180358852,37.729934693604356,-122.39774442710336,94124
156,180358868,37.760976609084544,-122.43445735395501,94114
157,180358987,37.80816605335633,-122.41665048206421,94133
158,180358987,37.80816605335633,-122.41665048206421,94133
159,180358921,37.8015741248208,-122.44573808046123,94123
160,180358727,37.78071792859985,-122.41531796699203,94102
161,180358664,37.76408889445322,-122.42187648849193,94110
162,180358664,37.76408889445322,-122.42187648849193,94110
163,180358551,37.782137299784225,-122.41553300799912,94102
164,180359690,37.783386237938174,-122.40985372994119,94102
165,180358432,37.75850069113568,-122.48543981309969,94122
166,180358432,37.75850069113568,-122.48543981309969,94122
167,180358432,37.75850069113568,-122.48543981309969,94122
168,180358272,37.78350582637344,-122.43099240904681,94115
169,180358200,37.783834437414136,-122.4129305220591,94102
170,180358266,37.78111921215415,-122.41259697063744,94102
171,180358266,37.78111921215415,-122.41259697063744,94102
172,180358244,37.785977476162536,-122.40535937175287,94103
173,180358244,37.785977476162536,-122.40535937175287,94103
174,180358175,37.764289195574904,-122.43228179167782,94114
175,180358175,37.764289195574904,-122.43228179167782,94114
176,180358153,37.78423628778867,-122.4177103447255,94109
177,180358125,37.77089688585604,-122.42030348249165,94103
178,180358056,37.75736377959691,-122.41344955677596,94110
179,180358034,37.734623708357,-122.47510200629827,94132
180,180358034,37.734623708357,-122.47510200629827,94132
181,180358034,37.734623708357,-122.47510200629827,94132
182,180358012,37.780832063095986,-122.41079391548197,94103
183,180358012,37.780832063095986,-122.41079391548197,94103
184,180358012,37.780832063095986,-122.41079391548197,94103
185,180358028,37.77620757682619,-122.42033209959268,94102
186,180357989,37.78223058700358,-122.41029351968982,94103
187,180357989,37.78223058700358,-122.41029351968982,94103
188,180357967,37.755437187509735,-122.41874873352268,94110
189,180358686,37.775045653944254,-122.46976870002857,94118
190,180359797,37.73089146430011,-122.3999950223809,94124
