IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
180360170,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,05/14/2018,18:57,SOUTHERN,NONE,HARRIET ST / HARRISON ST,-122.40461433268504,37.77684514192746,POINT (-122.40461433268504 37.77684514192746),18036017068020
180360045,ASSAULT,THREATS AGAINST LIFE,Monday,05/14/2018,17:57,MISSION,NONE,0 Block of CUNNINGHAM PL,-122.42174038877843,37.759405250629015,POINT (-122.42174038877843 37.759405250629015),18036004519057
180360681,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,05/14/2018,17:57,SOUTHERN,NONE,100 Block of RUSS ST,-122.40743417623575,37.77827177642468,POINT (-122.40743417623575 37.77827177642468),18036068106301
180359979,WARRANTS,WARRANT ARREST,Monday,05/14/2018,17:50,BAYVIEW,"ARREST, BOOKED",1200 Block of 3RD ST,-122.38951764803554,37.77246824000607,POINT (-122.38951764803554 37.77246824000607),18035997963010
180359888,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Monday,05/14/2018,17:36,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.41293306238357,37.773927452481935,POINT (-122.41293306238357 37.773927452481935),18035988804138
180359888,KIDNAPPING,FALSE IMPRISONMENT,Monday,05/14/2018,17:36,SOUTHERN,"ARREST, BOOKED",0 Block of DORE ST,-122.41293306238357,37.773927452481935,POINT (-122.41293306238357 37.773927452481935),18035988826142
180359850,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Monday,05/14/2018,17:30,MISSION,NONE,FLORIDA ST / 16TH ST,-122.41145623126778,37.76554897620598,POINT (-122.41145623126778 37.76554897620598),18035985005014
180359850,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Monday,05/14/2018,17:30,MISSION,NONE,FLORIDA ST / 16TH ST,-122.41145623126778,37.76554897620598,POINT (-122.41145623126778 37.76554897620598),18035985027130
180359850,OTHER OFFENSES,RESISTING ARREST,Monday,05/14/2018,17:30,MISSION,NONE,FLORIDA ST / 16TH ST,-122.41145623126778,37.76554897620598,POINT (-122.41145623126778 37.76554897620598),18035985027170
180360669,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,05/14/2018,17:00,SOUTHERN,NONE,3RD ST / HARRISON ST,-122.39738878482612,37.78255434524264,POINT (-122.39738878482612 37.78255434524264),18036066906243
180359769,NON-CRIMINAL,AIDED CASE,Monday,05/14/2018,16:40,SOUTHERN,NONE,500 Block of 6TH ST,-122.40178708470904,37.77537350502582,POINT (-122.40178708470904 37.77537350502582),18035976951040
180359571,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,05/14/2018,16:20,RICHMOND,NONE,2200 Block of DIVISADERO ST,-122.4408283542011,37.79033106356438,POINT (-122.4408283542011 37.79033106356438),18035957164020
180359606,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Monday,05/14/2018,16:10,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40842111692214,37.7835699386918,POINT (-122.40842111692214 37.7835699386918),18035960603024
180359606,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,05/14/2018,16:10,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.40842111692214,37.7835699386918,POINT (-122.40842111692214 37.7835699386918),18035960662050
180359430,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,05/14/2018,15:35,MISSION,"ARREST, BOOKED",1900 Block of MISSION ST,-122.4198145938115,37.765842721337165,POINT (-122.4198145938115 37.765842721337165),18035943016710
180359333,ASSAULT,CHILD ABUSE (PHYSICAL),Monday,05/14/2018,15:14,MISSION,NONE,BRYANT ST / 16TH ST,-122.4104888293078,37.765605863870505,POINT (-122.4104888293078 37.765605863870505),18035933315015
180359333,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,05/14/2018,15:14,MISSION,NONE,BRYANT ST / 16TH ST,-122.4104888293078,37.765605863870505,POINT (-122.4104888293078 37.765605863870505),18035933315161
180359333,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,05/14/2018,15:14,MISSION,NONE,BRYANT ST / 16TH ST,-122.4104888293078,37.765605863870505,POINT (-122.4104888293078 37.765605863870505),18035933315200
180359264,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,05/14/2018,14:57,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147905,37.775420706711,POINT (-122.40340479147905 37.775420706711),18035926404013
180359894,NON-CRIMINAL,FOUND PROPERTY,Monday,05/14/2018,14:46,PARK,NONE,2400 Block of GEARY BL,-122.44359704751092,37.782643528093914,POINT (-122.44359704751092 37.782643528093914),18035989472000
180359327,ASSAULT,THREATS AGAINST LIFE,Monday,05/14/2018,14:45,NORTHERN,NONE,700 Block of LARKIN ST,-122.41778534058587,37.78494749569731,POINT (-122.41778534058587 37.78494749569731),18035932719057
180359327,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,05/14/2018,14:45,NORTHERN,NONE,700 Block of LARKIN ST,-122.41778534058587,37.78494749569731,POINT (-122.41778534058587 37.78494749569731),18035932728150
180359195,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,05/14/2018,14:38,BAYVIEW,"ARREST, BOOKED",JERROLD AV / DONAHUE ST,-122.37071254029084,37.72819104833552,POINT (-122.37071254029084 37.72819104833552),18035919516650
180359195,WARRANTS,ENROUTE TO U.S. MARSHALL,Monday,05/14/2018,14:38,BAYVIEW,"ARREST, BOOKED",JERROLD AV / DONAHUE ST,-122.37071254029084,37.72819104833552,POINT (-122.37071254029084 37.72819104833552),18035919562010
180360299,NON-CRIMINAL,AIDED CASE,Monday,05/14/2018,14:05,CENTRAL,NONE,0 Block of CALIFORNIA ST,-122.39700008427126,37.79353047155304,POINT (-122.39700008427126 37.79353047155304),18036029951040
180359117,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,05/14/2018,13:31,PARK,NONE,1300 Block of PIERCE ST,-122.43597642071613,37.78239781239685,POINT (-122.43597642071613 37.78239781239685),18035911764020
180359559,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,05/14/2018,13:20,RICHMOND,NONE,100 Block of AVENUE OF THE PALMS,-122.37439714215347,37.819923463743024,POINT (-122.37439714215347 37.819923463743024),18035955928150
180358971,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,05/14/2018,13:02,MISSION,"ARREST, BOOKED",1800 Block of MISSION ST,-122.41983289014406,37.76746252618251,POINT (-122.41983289014406 37.76746252618251),18035897116710
180358971,OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Monday,05/14/2018,13:02,MISSION,"ARREST, BOOKED",1800 Block of MISSION ST,-122.41983289014406,37.76746252618251,POINT (-122.41983289014406 37.76746252618251),18035897130130
180359054,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Monday,05/14/2018,12:46,SOUTHERN,NONE,800 Block of MARKET ST,-122.40669059226074,37.78520719184194,POINT (-122.40669059226074 37.78520719184194),18035905406364
180358852,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,05/14/2018,12:30,BAYVIEW,"ARREST, BOOKED",200 Block of WILLIAMS AV,-122.39774442710336,37.729934693604356,POINT (-122.39774442710336 37.729934693604356),18035885265016
180358868,WARRANTS,WARRANT ARREST,Monday,05/14/2018,12:25,MISSION,"ARREST, BOOKED",4000 Block of 18TH ST,-122.43445735395501,37.760976609084544,POINT (-122.43445735395501 37.760976609084544),18035886863010
180358987,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,Monday,05/14/2018,12:22,CENTRAL,"ARREST, BOOKED",200 Block of JEFFERSON ST,-122.41665048206421,37.80816605335633,POINT (-122.41665048206421 37.80816605335633),18035898730190
180358987,WARRANTS,ENROUTE TO PAROLE OFFICER,Monday,05/14/2018,12:22,CENTRAL,"ARREST, BOOKED",200 Block of JEFFERSON ST,-122.41665048206421,37.80816605335633,POINT (-122.41665048206421 37.80816605335633),18035898762030
180358921,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,05/14/2018,12:10,NORTHERN,NONE,2300 Block of BAY ST,-122.44573808046123,37.8015741248208,POINT (-122.44573808046123 37.8015741248208),18035892106244
180358727,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,05/14/2018,11:10,TENDERLOIN,"ARREST, BOOKED",MCALLISTER ST / HYDE ST,-122.41531796699203,37.78071792859985,POINT (-122.41531796699203 37.78071792859985),18035872728160
180358664,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,05/14/2018,10:44,MISSION,"ARREST, BOOKED",500 Block of VALENCIA ST,-122.42187648849193,37.76408889445322,POINT (-122.42187648849193 37.76408889445322),18035866419090
180358664,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,05/14/2018,10:44,MISSION,"ARREST, BOOKED",500 Block of VALENCIA ST,-122.42187648849193,37.76408889445322,POINT (-122.42187648849193 37.76408889445322),18035866462050
180358551,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,05/14/2018,10:23,TENDERLOIN,NONE,100 Block of HYDE ST,-122.41553300799912,37.782137299784225,POINT (-122.41553300799912 37.782137299784225),18035855106152
180359690,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,05/14/2018,10:00,TENDERLOIN,NONE,0 Block of TURK ST,-122.40985372994119,37.783386237938174,POINT (-122.40985372994119 37.783386237938174),18035969005043
180358432,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,05/14/2018,09:30,TARAVAL,"ARREST, BOOKED",1500 Block of 27TH AV,-122.48543981309969,37.75850069113568,POINT (-122.48543981309969 37.75850069113568),18035843215150
180358432,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,05/14/2018,09:30,TARAVAL,"ARREST, BOOKED",1500 Block of 27TH AV,-122.48543981309969,37.75850069113568,POINT (-122.48543981309969 37.75850069113568),18035843215200
